"","Distance"
"2019",126.755965048804
"2020",130.840782386683
"2021",137.122773279253
"2022",156.784098278553
"2023",160.654873502345
"2024",173.918388358213
"2025",175.619952964105
"2026",179.867673491281
"2027",177.000252416158
"2028",169.315148468123
"2029",166.926315221921
"2030",157.695331089746
"2031",162.620929604589
"2032",161.894166926616
"2033",169.10038463479
"2034",160.556852138667
"2035",160.454706252389
"2036",154.738946062709
"2037",150.595443943733
"2038",144.266646182178
"2039",141.459975755479
"2040",135.349345321123
"2041",125.542549419528
"2042",123.709629855572
"2043",123.924927993349
"2044",120.845858398744
"2045",126.572768485499
"2046",126.049185338092
"2047",128.910604890651
"2048",129.306113268524
"2049",129.360010541116
"2050",125.213096490376
"2051",124.364138844685
"2052",121.098297714614
"2053",119.061025339799
"2054",117.858592513268
"2055",115.796189263915
"2056",117.026620558696
"2057",115.376899534658
"2058",115.376899534658
"2059",115.376899534658
"2060",116.228025926296
"2061",117.026620558696
"2062",116.605919668947
"2063",114.576518086846
"2064",114.195699284057
"2065",113.775231290559
"2066",111.76368720128
"2067",109.763342825593
"2068",109.082517609785
"2069",107.879905124752
