"","Distance"
"2019",0
"2020",6.94750694010993
"2021",19.5437331911875
"2022",38.2668601742636
"2023",52.4372907196205
"2024",60.5655048794316
"2025",76.3430613979357
"2026",86.9629531351625
"2027",106.455600553701
"2028",110.710291971997
"2029",115.159882027968
"2030",129.586879725328
"2031",143.125361101929
"2032",146.005936869536
"2033",160.582156744929
"2034",175.042623663266
"2035",179.824861932741
"2036",183.717224203796
"2037",192.897920453947
"2038",198.923150655611
"2039",203.114615453086
"2040",215.923000029922
"2041",231.133625540406
"2042",243.18094918662
"2043",250.956637483941
"2044",247.86805306581
"2045",262.474624698084
"2046",271.491502707491
"2047",280.511290935864
"2048",282.678352266613
"2049",283.691031894931
"2050",286.761698445883
"2051",286.885090525058
"2052",290.257730130172
"2053",294.740354569938
"2054",299.980276558932
"2055",300.879641302826
"2056",315.444164119706
"2057",317.896076672129
"2058",322.339316506346
"2059",323.225794487754
"2060",319.808892779964
"2061",326.329334581575
"2062",336.379827095823
"2063",342.971380110278
"2064",349.599727772823
"2065",347.384554368416
"2066",355.109175630543
"2067",355.109634801707
"2068",358.46512102879
"2069",360.720286331766
