"","Distance"
"2019",0
"2020",18.3878095084403
"2021",36.5837751308959
"2022",43.7282837769766
"2023",38.9455933267769
"2024",42.8583005418732
"2025",49.9884062103877
"2026",55.0866263441735
"2027",55.4087757595136
"2028",60.8108700992581
"2029",66.8695192022636
"2030",60.3934427264791
"2031",62.7532492139647
"2032",56.8854060410887
"2033",60.5246188416707
"2034",66.8892902983888
"2035",67.9635771494152
"2036",75.368900080435
"2037",74.3458317788
"2038",74.7591578032104
"2039",70.8653365378032
"2040",71.9456629092988
"2041",63.5228954659849
"2042",43.8559145464035
"2043",46.7355244423374
"2044",46.672689807188
"2045",48.0926377620159
"2046",38.8083522181597
"2047",38.7800599298552
"2048",29.8942987096853
"2049",29.6974105130003
"2050",38.8959865104004
"2051",36.3735635921012
"2052",29.9816153571034
"2053",25.5829221829828
"2054",30.3080767572222
"2055",37.7900958181715
"2056",44.2708215663921
"2057",44.2708215663921
"2058",48.1309052813116
"2059",51.3821155873035
"2060",60.2170505984177
"2061",58.5870470976941
"2062",59.4405836175605
"2063",54.8150702673235
"2064",62.9909961553657
"2065",55.0230129732712
"2066",59.9875860113806
"2067",56.9478913050149
"2068",63.0519017728753
"2069",62.2870548822616
