"","Distance"
"2019",0
"2020",11.4329146667735
"2021",27.3229545505361
"2022",43.4017278354585
"2023",61.7747410360015
"2024",75.0785235428816
"2025",92.5210119130739
"2026",97.8241390410523
"2027",108.895876398818
"2028",117.302562401444
"2029",138.363317458776
"2030",152.746928260081
"2031",171.719111167207
"2032",178.495903307826
"2033",190.165448021203
"2034",206.055171950138
"2035",215.967693752641
"2036",216.273889201708
"2037",222.633867462194
"2038",225.447027571564
"2039",225.447027571564
"2040",235.698696135428
"2041",237.45189446834
"2042",238.385699235269
"2043",235.863409220238
"2044",239.983432717554
"2045",246.822333366268
"2046",254.841728120643
"2047",265.406424144645
"2048",266.45047395201
"2049",271.752579264564
"2050",278.683706152145
"2051",283.29267190417
"2052",290.694930208297
"2053",294.877024432625
"2054",310.3637447905
"2055",321.548081602854
"2056",315.955920713774
"2057",321.420587182579
"2058",329.542917246561
"2059",336.105476367727
"2060",336.602678262128
"2061",333.594129768092
"2062",339.146691194068
"2063",342.441639666657
"2064",341.294936814549
"2065",342.303973390749
"2066",342.303973390749
"2067",344.737167528769
"2068",345.516586683697
"2069",350.902598157001
